nom_q_1102,nom_q_1111,serv_SbjNum,nom_q_1110,nom_q_3222code,ord_T_q_9101a_3,ord_T_q_9101a_4,ord_T_q_9101a_5,ord_T_q_9101a_7,ord_T_q_9101a_8,ord_T_q_9101b_1,ord_T_q_9101b_2,ord_T_q_9101b_3,ord_T_q_9101b_4,ord_T_q_9101b_6,ord_T_q_9101b_7,ord_T_q_9101c_1,ord_T_q_9101c_2,ord_T_q_9101c_4,ord_T_q_9101c_6,ord_T_q_9101c_7,ord_T_q_9101c_8,ord_T_q_9101c_9,ord_T_q_9101d_2,ord_T_q_9101d_3,ord_T_q_9101d_4,ord_T_q_9101d_6,ord_T_q_9101d_7,ord_T_q_9101d_8,ord_T_q_9101d_9,ord_T_q_9101e_1,ord_T_q_9101e_2,ord_T_q_9101e_4,ord_T_q_9101e_7,ord_T_q_9101e_8,ord_T_q_9101f_2,nom_q_9103b,nom_q_9103c,nom_q_9103d,nom_q_9103e,nom_q_9103f,nom_q_9103g,nom_q_9103h,nom_q_9103i,nom_q_9103j,nom_q_9103k,nom_q_9103l,nom_q_9103m,nom_q_9103n,nom_q_9103o,nom_q_9103p,nom_q_9103q,nom_q_9103r,nom_q_9103s,ord_q_9301,nom_q_9303,nom_q_9305,nom_q_9306,nom_q_9308
Man,Khatlon,166315223,Village,8,Absolutely like,Absolutely like,Absolutely like,Absolutely like,It's a little weird,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,It's a little weird,Absolutely like,Not at all,It's a little weird,Absolutely like,Neutral,It's a little weird,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Electronics,Photography,Advice on work,Helping families in need,Physical training,Music,Economic sciences,Education,Law,Stand electronics,Landscaping,Travel agent,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Khatlon,166381355,Village,8,Absolutely like,Absolutely like,Not at all,Absolutely like,It's a little weird,Not at all,It's a little weird,Absolutely like,Absolutely like,A little disliked,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Neutral,Absolutely like,Not at all,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Not at all,Electronics,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Stand electronics,Landscaping,Travel agent,Work in the office,Forest,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),Primary vocational education (vocational school) or secondary vocational (Technical school)
Women,Khatlon,166344958,Village,8,Not at all,Absolutely like,Neutral,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,Not at all,Absolutely like,Not at all,Absolutely like,Absolutely like,Neutral,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Absolutely like,Not at all,Electronics,Photography,Advice on work,Company management,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166020760,Village,8,Neutral,It's a little weird,Neutral,A little disliked,A little disliked,A little disliked,A little disliked,Neutral,It's a little weird,A little disliked,Neutral,It's a little weird,Neutral,It's a little weird,Neutral,A little disliked,Neutral,It's a little weird,It's a little weird,Neutral,It's a little weird,Neutral,Neutral,Neutral,Absolutely like,It's a little weird,It's a little weird,Neutral,It's a little weird,It's a little weird,It's a little weird,Electronics,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Artist / Folk Crafts,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"Without borrowing money, he could easily buy household appliances",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Unemployed (ready to work and looking for work),Full secondary education (grades 10-11)
Women,Khatlon,166551828,Village,8,Not at all,Absolutely like,Neutral,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,It's a little weird,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Photography,Owning a store,Company management,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166815315,Village,8,Not at all,Not at all,Not at all,Not at all,Not at all,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Not at all,Absolutely like,Not at all,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Electronics,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Unemployed (ready to work and looking for work),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),Primary vocational education (vocational school) or secondary vocational (Technical school)
Women,Khatlon,166680006,Village,8,It's a little weird,Not at all,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,It's a little weird,Not at all,Absolutely like,Absolutely like,Not at all,It's a little weird,Not at all,Not at all,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Photography,Owning a store,Company management,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Entrepreneur / employee with self-account / private entrepreneur / employer (yes),Primary vocational education (VET) or secondary vocational education (technical school),Doing housework (including caring for children),Primary vocational education (vocational school) or secondary vocational (Technical school)
Women,Khatlon,166682409,Village,8,Not at all,Absolutely like,A little disliked,Not at all,Not at all,Not at all,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,It's a little weird,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,A little disliked,Not at all,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,167081325,Village,8,Absolutely like,Not at all,Not at all,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,Not at all,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,It's a little weird,It's a little weird,Not at all,Not at all,Absolutely like,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,Not at all,Not at all,Not at all,Absolutely like,Not at all,Chemistry,Botany,Advice on work,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Unofficial / unregistered employee (NOT YOUR FAMILY BUSINESS),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166382563,Village,8,Not at all,Neutral,Neutral,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Neutral,Not at all,Absolutely like,Absolutely like,It's a little weird,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Botany,Advice on work,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),Primary vocational education (vocational school) or secondary vocational (Technical school)
Women,Khatlon,166383264,Village,8,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Absolutely like,It's a little weird,Absolutely like,Not at all,It's a little weird,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,It's a little weird,Not at all,Not at all,Not at all,It's a little weird,It's a little weird,It's a little weird,Absolutely like,Absolutely like,Neutral,Neutral,Absolutely like,Not at all,It's a little weird,A little disliked,Chemistry,Botany,Advice on work,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Unemployed (ready to work and looking for work),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166257918,Village,8,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,Not at all,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,A little disliked,Not at all,Absolutely like,Absolutely like,Neutral,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Photography,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166021495,Village,8,It's a little weird,It's a little weird,Neutral,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,It's a little weird,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Not at all,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Photography,Advice on work,Company management,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house","Work as an employee or assistant on a farm (farm, h",Primary vocational education (VET) or secondary vocational education (technical school),Doing housework (including caring for children),Full secondary education (grades 10-11)
Man,Khatlon,166362880,Village,8,Not at all,Neutral,Neutral,Absolutely like,It's a little weird,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,It's a little weird,Absolutely like,Not at all,Absolutely like,Absolutely like,Neutral,Absolutely like,Not at all,It's a little weird,Not at all,Absolutely like,Neutral,Absolutely like,Absolutely like,Absolutely like,It's a little weird,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Not at all,Chemistry,Photography,Owning a store,Helping families in need,Doktor,Music,Physics,Education,Law,Stand electronics,Landscaping,Travel agent,Work in the office,Forest,Economist,Geology,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",I don't know / Rejection,I don't know / Rejection,Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166245787,Village,8,It's a little weird,It's a little weird,Neutral,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,A little disliked,Not at all,Not at all,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Not at all,Not at all,Chemistry,Botany,Advice on work,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166826033,Village,8,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,It's a little weird,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Not at all,Not at all,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Not at all,Not at all,Electronics,Botany,Owning a store,Helping families in need,Doktor,Music,Physics,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc"
Women,Khatlon,166680557,Village,8,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,A little disliked,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Neutral,A little disliked,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Photography,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Unofficial / unregistered employee (NOT YOUR FAMILY BUSINESS),Primary vocational education (VET) or secondary vocational education (technical school),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,165979073,Village,8,Not at all,Not at all,Not at all,A little disliked,Not at all,A little disliked,It's a little weird,Absolutely like,Absolutely like,Not at all,A little disliked,Absolutely like,Neutral,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Not at all,Neutral,A little disliked,Not at all,Absolutely like,Absolutely like,Absolutely like,Not at all,Not at all,Absolutely like,Not at all,Neutral,Not at all,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Physics,Education,Law,Child care,Landscaping,Travel agent,Picture description,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166019130,Village,8,Absolutely like,Absolutely like,Absolutely like,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Not at all,It's a little weird,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Not at all,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Entrepreneur / employee with self-account / private entrepreneur / employer (yes),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Unofficial / unregistered employee (NOT YOUR FAMILY BUSINESS),Full secondary education (grades 10-11)
Women,Khatlon,166017971,Village,8,It's a little weird,Absolutely like,Absolutely like,Not at all,Not at all,A little disliked,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Not at all,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Botany,Advice on work,Helping families in need,Doktor,Music,Physics,Education,Law,Child care,"Playing in a group, being a member of a music team",Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),Primary vocational education (vocational school) or secondary vocational (Technical school)
Women,Dushanbe,164950510,City,8,Absolutely like,Absolutely like,Absolutely like,It's a little weird,Not at all,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Neutral,Not at all,Absolutely like,Not at all,Absolutely like,Neutral,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Electronics,Photography,Owning a store,Company management,Doktor,Music,Economic sciences,Art,Law,Stand electronics,"Playing in a group, being a member of a music team",Travel agent,Work in the office,Forest,Electric,Geology,Builder,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",,Complete general secondary education (Grades 10-11),,Full secondary education (grades 10-11)
Women,Khatlon,166040618,Village,8,Not at all,A little disliked,Not at all,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,It's a little weird,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Not at all,Absolutely like,Absolutely like,Not at all,It's a little weird,Absolutely like,Absolutely like,Neutral,Neutral,Absolutely like,Not at all,Neutral,Not at all,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Physics,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",I don't know / Rejection,I don't know / Rejection,Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher education (University, Conservatory, Academy) or Postgraduate studies, etc"
Women,Khatlon,166256836,Village,8,Not at all,Not at all,Neutral,Not at all,Not at all,A little disliked,It's a little weird,It's a little weird,It's a little weird,Not at all,It's a little weird,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,It's a little weird,Not at all,Not at all,It's a little weird,Absolutely like,Neutral,Absolutely like,Absolutely like,Absolutely like,Absolutely like,A little disliked,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Unofficial / unregistered employee (NOT YOUR FAMILY BUSINESS),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166257110,Village,8,Neutral,Neutral,A little disliked,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,It's a little weird,Not at all,It's a little weird,It's a little weird,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,A little disliked,Not at all,It's a little weird,Absolutely like,Neutral,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Photography,Advice on work,Company management,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),Primary vocational education (VET) or secondary vocational education (technical school),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166949777,Village,8,Not at all,A little disliked,A little disliked,Not at all,Not at all,A little disliked,It's a little weird,Absolutely like,Absolutely like,Not at all,Not at all,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Not at all,Absolutely like,It's a little weird,Not at all,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Not at all,Neutral,Not at all,Chemistry,Photography,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Geology,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Unofficial / unregistered employee (NOT YOUR FAMILY BUSINESS),Primary vocational education (VET) or secondary vocational education (technical school),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166017185,Village,8,It's a little weird,It's a little weird,It's a little weird,Not at all,Not at all,Not at all,Absolutely like,Neutral,Absolutely like,Not at all,Not at all,Absolutely like,A little disliked,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Not at all,Absolutely like,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Not at all,Neutral,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Physics,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Confirmation of a home loan (mortgage),"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166158060,Village,8,Neutral,Not at all,Not at all,Not at all,Not at all,Not at all,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Not at all,Not at all,It's a little weird,Neutral,A little disliked,It's a little weird,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Not at all,Absolutely like,Neutral,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Picture description,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),Full secondary education (grades 10-11)
Women,Khatlon,166636226,Village,8,A little disliked,Not at all,Not at all,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,It's a little weird,Not at all,It's a little weird,Absolutely like,Neutral,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,A little disliked,Absolutely like,Not at all,Chemistry,Photography,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Geology,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Unemployed (ready to work and looking for work),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166683380,Village,8,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,Absolutely like,It's a little weird,Not at all,Absolutely like,Absolutely like,Not at all,Not at all,Not at all,Not at all,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,Absolutely like,It's a little weird,Not at all,Absolutely like,Not at all,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Unofficial / unregistered employee (NOT YOUR FAMILY BUSINESS),Primary vocational education (VET) or secondary vocational education (technical school),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,167088041,Village,8,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Absolutely like,Absolutely like,Absolutely like,Not at all,Not at all,It's a little weird,Not at all,Absolutely like,Absolutely like,Not at all,A little disliked,A little disliked,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Chemistry,Botany,Owning a store,Helping families in need,Physical training,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Picture description,The nurse of mercy,Economist,Geology,Economist,Helping patients in the hospital,"We could have bought a car without any problems, but a house",Unofficial / unregistered employee (NOT YOUR FAMILY BUSINESS),Complete general secondary education (Grades 10-11),Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166017970,Village,8,Not at all,It's a little weird,A little disliked,Not at all,Not at all,A little disliked,Absolutely like,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Not at all,Absolutely like,Absolutely like,It's a little weird,Absolutely like,Absolutely like,Absolutely like,Neutral,Absolutely like,Absolutely like,Not at all,Absolutely like,Not at all,Chemistry,Botany,Owning a store,Company management,Doktor,Music,Physics,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Accounting,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Official / Registered Employee (NOT YOUR FAMILY BUSINESS),"Higher Education (University, Conservatory, Academy) or Postgraduate, d",Doing housework (including caring for children),Full secondary education (grades 10-11)
Women,Khatlon,166112286,Village,8,A little disliked,Not at all,Neutral,Not at all,Not at all,Not at all,It's a little weird,Absolutely like,Absolutely like,Not at all,Not at all,Absolutely like,Not at all,It's a little weird,Absolutely like,Not at all,Absolutely like,Not at all,Not at all,Not at all,Neutral,Neutral,A little disliked,Absolutely like,Absolutely like,Not at all,Not at all,Absolutely like,Not at all,It's a little weird,Not at all,Chemistry,Botany,Owning a store,Helping families in need,Doktor,Music,Economic sciences,Education,Law,Child care,Landscaping,Travel agent,Work in the office,The nurse of mercy,Economist,Geology,Economist,Helping patients in the hospital,"We didn't have any financial problems, we even bought a new house, aha",Unofficial / unregistered employee (NOT YOUR FAMILY BUSINESS),Primary vocational education (VET) or secondary vocational education (technical school),Doing housework (including caring for children),Full secondary education (grades 10-11)
